validation_num_trades,validation_net_return,validation_gross_return_mean,validation_win_rate,validation_total_cost,validation_cost_to_initial_cash,validation_avg_target_weight,full_num_trades,full_net_return,full_gross_return_mean,full_win_rate,full_total_cost,full_cost_to_initial_cash,full_avg_target_weight,full_stop_loss_rate,attention_lookback,momentum_lookback,entry_days_before_event,exit_days_before_event,top_k,stop_loss,stop_vol_multiplier,max_effective_stop_loss,min_exposure_for_trade,min_event_fit_for_trade,rankic_prior_weight,attention_z_cap,selection_score
3.0,0.024191988100000013,0.07262776974216645,1.0,1324.0119,0.0013240119,0.11499669443934858,6.0,0.0724234177,0.10797961389923512,0.8333333333333334,2452.5823,0.0024525823,0.10590988697960661,0.16666666666666666,10,20,60,10,3,0.08,4.0,0.12,0.45,0.7,0.55,1.0,0.03704076480666668
3.0,0.024191988100000013,0.07262776974216645,1.0,1324.0119,0.0013240119,0.11499669443934858,6.0,0.0724234177,0.10797961389923512,0.8333333333333334,2452.5823,0.0024525823,0.10590988697960661,0.16666666666666666,10,20,60,10,3,0.08,4.0,0.12,0.5,0.7,0.55,1.0,0.03704076480666668
3.0,0.024191988100000013,0.07262776974216645,1.0,1324.0119,0.0013240119,0.11499669443934858,6.0,0.0724234177,0.10797961389923512,0.8333333333333334,2452.5823,0.0024525823,0.10590988697960661,0.16666666666666666,10,20,60,10,5,0.08,4.0,0.12,0.5,0.7,0.55,1.0,0.03704076480666668
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10158160802740261,6.0,0.07037471438000001,0.10797961389923512,0.8333333333333334,2417.6856199999997,0.00241768562,0.1048887843355819,0.16666666666666666,20,20,60,10,3,0.08,4.0,0.12,0.45,0.7,0.55,1.0,0.03561744057666667
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10158160802740261,6.0,0.07037471438000001,0.10797961389923512,0.8333333333333334,2417.6856199999997,0.00241768562,0.1048887843355819,0.16666666666666666,20,20,60,10,3,0.08,4.0,0.12,0.5,0.7,0.55,1.0,0.03561744057666667
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10158160802740261,6.0,0.07037471438000001,0.10797961389923512,0.8333333333333334,2417.6856199999997,0.00241768562,0.1048887843355819,0.16666666666666666,20,20,60,10,5,0.08,4.0,0.12,0.5,0.7,0.55,1.0,0.03561744057666667
4.0,0.019210626718636742,0.024673678536968446,0.75,1218.708739282173,0.001218708739282173,0.08236832986952052,8.0,0.08010421994043936,0.08534843112156537,0.75,2798.1509071188957,0.0027981509071188957,0.08600095926348572,0.25,20,20,60,10,5,0.08,4.0,0.12,0.45,0.7,0.55,1.5,0.03479898452537928
4.0,0.016010615494843904,0.024673678536968446,0.75,1445.2158277031317,0.0014452158277031316,0.09237224549864842,8.0,0.0788450218,0.09319572345511153,0.75,2777.9782,0.0027779782,0.08626748980696472,0.125,10,20,60,10,5,0.08,4.0,0.12,0.45,0.7,0.55,1.5,0.03472465701472276
4.0,0.016010615494843904,0.024673678536968446,0.75,1445.2158277031317,0.0014452158277031316,0.09237224549864842,8.0,0.07824955602000001,0.09319572345511153,0.75,2753.04398,0.0027530439799999997,0.08580294604161164,0.125,10,20,60,10,5,0.08,4.0,0.12,0.45,0.7,0.55,1.0,0.03451998412472276
4.0,0.019210626718636742,0.024673678536968446,0.75,1218.708739282173,0.001218708739282173,0.08251231283969272,8.0,0.07768596624043936,0.08534843112156537,0.75,2724.404607118896,0.002724404607118896,0.08469189852453052,0.25,20,20,60,10,5,0.08,4.0,0.12,0.45,0.7,0.55,1.0,0.03396365767537928
4.0,0.03130531930800001,0.06925453538993318,0.75,1397.320692,0.001397320692,0.08951501881252809,8.0,0.018587983202925425,0.043013680893756456,0.5,2655.281157967992,0.0026552811579679918,0.08606899031315829,0.5,10,20,90,10,5,0.08,4.0,0.12,0.45,0.7,0.55,1.0,0.016106629324528707
4.0,0.032559079300000016,0.0768646675485235,0.75,1405.9207,0.0014059207,0.09002871382811539,8.0,0.010821631529012563,0.026279531286777097,0.375,2713.002575797678,0.002713002575797678,0.0876504000901466,0.5,10,20,90,10,5,0.08,4.0,0.12,0.45,0.7,0.55,1.5,0.01419254201878476
4.0,0.030446584705499248,0.06558333637399358,0.75,1394.9094837298414,0.0013949094837298415,0.08951501881252809,8.0,0.013709844984575004,0.036684632183020774,0.5,2644.912799335645,0.002644912799335645,0.08606899031315829,0.5,10,20,90,10,5,0.08,5.0,0.12,0.45,0.7,0.55,1.0,0.013843261512342954
4.0,0.030862955124000016,0.06925453538993318,0.75,1340.964876,0.001340964876,0.08636214210759288,8.0,0.0124203495883367,0.026279531286777097,0.375,2569.062990431322,0.002569062990431322,0.08414824859030497,0.5,20,20,90,10,5,0.08,4.0,0.12,0.45,0.7,0.55,1.0,0.013687442518953161
